X,M
0,0
1,99
2,198
3,297
4,396
5,495
6,594
7,693
8,792
9,891
10,990
11,1089
12,1188
13,1287
14,1386
15,1485
16,1583
17,1682
18,1781
19,1880
20,1978
21,2077
22,2176
23,2274
24,2373
25,2471
26,2570
27,2668
28,2766
29,2865
30,2963
31,3061
32,3159
33,3257
34,3355
35,3453
36,3551
37,3649
38,3747
39,3845
40,3942
41,4040
42,4137
43,4235
44,4332
45,4429
46,4526
47,4624
48,4721
49,4817
50,4914
51,5011
52,5108
53,5204
54,5301
55,5397
56,5493
57,5589
58,5686
59,5781
60,5877
61,5973
62,6069
63,6164
64,6260
65,6355
66,6450
67,6545
68,6640
69,6735
70,6830
71,6924
72,7019
73,7113
74,7207
75,7301
76,7395
77,7489
78,7583
79,7676
80,7769
81,7863
82,7956
83,8049
84,8142
85,8234
86,8327
87,8419
88,8511
89,8603
90,8695
91,8787
92,8878
93,8970
94,9061
95,9152
96,9243
97,9334
98,9424
99,9515
100,9605
101,9695
102,9785
103,9875
104,9964
105,10053
106,10142
107,10231
108,10320
109,10409
110,10497
111,10585
112,10673
113,10761
114,10849
115,10936
116,11023
117,11110
118,11197
119,11284
120,11370
121,11456
122,11542
123,11628
124,11714
125,11799
126,11884
127,11969
128,12054
129,12138
130,12222
131,12307
132,12390
133,12474
134,12557
135,12640
136,12723
137,12806
138,12888
139,12970
140,13052
141,13134
142,13216
143,13297
144,13378
145,13459
146,13539
147,13619
148,13699
149,13779
150,13859
151,13938
152,14017
153,14096
154,14174
155,14252
156,14330
157,14408
158,14485
159,14562
160,14639
161,14716
162,14792
163,14868
164,14944
165,15020
166,15095
167,15170
168,15245
169,15319
170,15393
171,15467
172,15541
173,15614
174,15687
175,15760
176,15832
177,15905
178,15976
179,16048
180,16119
181,16190
182,16261
183,16331
184,16402
185,16471
186,16541
187,16610
188,16679
189,16748
190,16816
191,16884
192,16952
193,17019
194,17086
195,17153
196,17219
197,17285
198,17351
199,17416
200,17482
201,17546
202,17611
203,17675
204,17739
205,17803
206,17866
207,17929
208,17991
209,18054
210,18115
211,18177
212,18238
213,18299
214,18360
215,18420
216,18480
217,18540
218,18599
219,18658
220,18716
221,18774
222,18832
223,18890
224,18947
225,19004
226,19060
227,19116
228,19172
229,19228
230,19283
231,19338
232,19392
233,19446
234,19500
235,19553
236,19606
237,19658
238,19711
239,19763
240,19814
241,19865
242,19916
243,19967
244,20017
245,20066
246,20116
247,20165
248,20213
249,20261
250,20309
251,20357
252,20404
253,20451
254,20497
255,20543
256,20589
257,20634
258,20679
259,20723
260,20767
261,20811
262,20854
263,20897
264,20940
265,20982
266,21024
267,21065
268,21107
269,21147
270,21187
271,21227
272,21267
273,21306
274,21345
275,21383
276,21421
277,21459
278,21496
279,21532
280,21569
281,21605
282,21640
283,21676
284,21710
285,21745
286,21779
287,21812
288,21846
289,21878
290,21911
291,21943
292,21975
293,22006
294,22037
295,22067
296,22097
297,22127
298,22156
299,22184
300,22213
301,22241
302,22268
303,22296
304,22322
305,22349
306,22375
307,22400
308,22425
309,22450
310,22474
311,22498
312,22522
313,22545
314,22567
315,22590
316,22611
317,22633
318,22654
319,22674
320,22695
321,22714
322,22734
323,22753
324,22771
325,22789
326,22807
327,22824
328,22841
329,22858
330,22874
331,22889
332,22904
333,22919
334,22933
335,22947
336,22961
337,22974
338,22987
339,22999
340,23011
341,23022
342,23033
343,23044
344,23054
345,23063
346,23073
347,23082
348,23090
349,23098
350,23106
351,23113
352,23120
353,23126
354,23132
355,23138
356,23143
357,23147
358,23151
359,23155
360,23159
361,23162
362,23164
363,23166
364,23168
365,23169
366,23170
367,23171
368,23171
369,23170
370,23169
371,23168
372,23166
373,23164
374,23162
375,23159
376,23155
377,23151
378,23147
379,23143
380,23138
381,23132
382,23126
383,23120
384,23113
385,23106
386,23098
387,23090
388,23082
389,23073
390,23063
391,23054
392,23044
393,23033
394,23022
395,23011
396,22999
397,22987
398,22974
399,22961
400,22947
401,22933
402,22919
403,22904
404,22889
405,22874
406,22858
407,22841
408,22824
409,22807
410,22789
411,22771
412,22753
413,22734
414,22714
415,22695
416,22674
417,22654
418,22633
419,22611
420,22590
421,22567
422,22545
423,22522
424,22498
425,22474
426,22450
427,22425
428,22400
429,22375
430,22349
431,22322
432,22296
433,22268
434,22241
435,22213
436,22184
437,22156
438,22127
439,22097
440,22067
441,22037
442,22006
443,21975
444,21943
445,21911
446,21878
447,21846
448,21812
449,21779
450,21745
451,21710
452,21676
453,21640
454,21605
455,21569
456,21532
457,21496
458,21459
459,21421
460,21383
461,21345
462,21306
463,21267
464,21227
465,21187
466,21147
467,21107
468,21065
469,21024
470,20982
471,20940
472,20897
473,20854
474,20811
475,20767
476,20723
477,20679
478,20634
479,20589
480,20543
481,20497
482,20451
483,20404
484,20357
485,20309
486,20261
487,20213
488,20165
489,20116
490,20066
491,20017
492,19967
493,19916
494,19865
495,19814
496,19763
497,19711
498,19658
499,19606
500,19553
501,19500
502,19446
503,19392
504,19338
505,19283
506,19228
507,19172
508,19116
509,19060
510,19004
511,18947
512,18890
513,18832
514,18774
515,18716
516,18658
517,18599
518,18540
519,18480
520,18420
521,18360
522,18299
523,18238
524,18177
525,18115
526,18054
527,17991
528,17929
529,17866
530,17803
531,17739
532,17675
533,17611
534,17546
535,17482
536,17416
537,17351
538,17285
539,17219
540,17153
541,17086
542,17019
543,16952
544,16884
545,16816
546,16748
547,16679
548,16610
549,16541
550,16471
551,16402
552,16331
553,16261
554,16190
555,16119
556,16048
557,15976
558,15905
559,15832
560,15760
561,15687
562,15614
563,15541
564,15467
565,15393
566,15319
567,15245
568,15170
569,15095
570,15020
571,14944
572,14868
573,14792
574,14716
575,14639
576,14562
577,14485
578,14408
579,14330
580,14252
581,14174
582,14096
583,14017
584,13938
585,13859
586,13779
587,13699
588,13619
589,13539
590,13459
591,13378
592,13297
593,13216
594,13134
595,13052
596,12970
597,12888
598,12806
599,12723
600,12640
601,12557
602,12474
603,12390
604,12307
605,12222
606,12138
607,12054
608,11969
609,11884
610,11799
611,11714
612,11628
