Date,Total_cases,New_cases
2020/01/27,1,1
2020/01/28,2,1
2020/01/29,3,1
2020/01/30,4,1
2020/01/31,6,2
2020/02/01,6,0
2020/02/02,6,0
2020/02/03,6,0
2020/02/04,6,0
2020/02/05,6,0
2020/02/06,6,0
2020/02/07,6,0
2020/02/08,6,0
2020/02/09,6,0
2020/02/10,6,0
2020/02/11,6,0
2020/02/12,6,0
2020/02/13,6,0
2020/02/14,6,0
2020/02/15,6,0
2020/02/16,6,0
2020/02/17,7,1
2020/02/18,7,0
2020/02/19,7,0
2020/02/20,8,1
2020/02/21,8,0
2020/02/22,8,0
2020/02/23,8,0
2020/02/24,8,0
2020/02/25,8,0
2020/02/26,10,2
2020/02/27,10,0
2020/02/28,12,2
2020/02/29,16,4
2020/03/01,16,0
2020/03/02,21,5
2020/03/03,23,2
2020/03/04,28,5
2020/03/05,35,7
2020/03/06,45,10
2020/03/07,53,8
2020/03/08,57,4
2020/03/09,74,17
2020/03/10,89,15
2020/03/11,115,26
2020/03/12,138,23
2020/03/13,186,48
2020/03/14,229,43
2020/03/15,261,32
2020/03/16,298,37
2020/03/17,349,51
2020/03/18,391,42
2020/03/19,434,43
2020/03/20,497,63
2020/03/21,533,36
2020/03/22,575,42
2020/03/23,653,78
2020/03/24,723,70
2020/03/25,802,79
2020/03/26,875,73
2020/03/27,941,66
2020/03/28,981,40
2020/03/29,1006,25
2020/03/30,1080,74
2020/03/31,1132,52
2020/04/01,1182,50
2020/04/02,1234,52
2020/04/03,1277,43
2020/04/04,1309,32
2020/04/05,1351,42
2020/04/06,1404,53
2020/04/07,1445,41
2020/04/08,1515,70
2020/04/09,1583,68
2020/04/10,1664,81
2020/04/11,1705,41
2020/04/12,1729,24
2020/04/13,1769,40
2020/04/14,1813,44
2020/04/15,1844,31
2020/04/16,1870,26
2020/04/17,1910,40
2020/04/18,1925,15
2020/04/19,1939,14
2020/04/20,1964,25
2020/04/21,1990,26
2020/04/22,2039,49
2020/04/23,2059,20
2020/04/24,2088,29
2020/04/25,2102,14
2020/04/26,2113,11
2020/04/27,2137,24
2020/04/28,2158,21
2020/04/29,2186,28
2020/04/30,2197,11
2020/05/01,2219,22
2020/05/02,2231,12
2020/05/03,2239,8
2020/05/04,2258,19
2020/05/05,2271,13
2020/05/06,2298,27
2020/05/07,2311,13
2020/05/08,2335,24
2020/05/09,2346,11
2020/05/10,2349,3
2020/05/11,2369,20
2020/05/12,2384,15
2020/05/13,2404,20
2020/05/14,2428,24
2020/05/15,2443,15
2020/05/16,2458,15
2020/05/17,2465,7
2020/05/18,2504,39
2020/05/19,2548,44
2020/05/20,2584,36
2020/05/21,2605,21
2020/05/22,2631,26
2020/05/23,2648,17
2020/05/24,2650,2
2020/05/25,2657,7
2020/05/26,2687,30
2020/05/27,2726,39
2020/05/28,2749,23
2020/05/29,2793,44
2020/05/30,2809,16
2020/05/31,2819,10
2020/06/01,2853,34
2020/06/02,2878,25
2020/06/03,2919,41
2020/06/04,2955,36
2020/06/05,2992,37
2020/06/06,3005,13
2020/06/07,3023,18
2020/06/08,3062,39
2020/06/09,3108,46
2020/06/10,3171,63
2020/06/11,3221,50
2020/06/12,3279,58
2020/06/13,3300,21
