Date,Three_months,Last_four_months,Total_ThreeM,Total_cases,New_ThreeM,New_cases
5/1/20,5/1/20,8/1/20,2219,2219,22,22
5/2/20,5/2/20,8/2/20,2231,2231,12,12
5/3/20,5/3/20,8/3/20,2239,2239,8,8
5/4/20,5/4/20,8/4/20,2258,2258,19,19
5/5/20,5/5/20,8/5/20,2271,2271,13,13
5/6/20,5/6/20,8/6/20,2298,2298,27,27
5/7/20,5/7/20,8/7/20,2311,2311,13,13
5/8/20,5/8/20,8/8/20,2335,2335,24,24
5/9/20,5/9/20,8/9/20,2346,2346,11,11
5/10/20,5/10/20,8/10/20,2349,2349,3,3
5/11/20,5/11/20,8/11/20,2369,2369,20,20
5/12/20,5/12/20,8/12/20,2384,2384,15,15
5/13/20,5/13/20,8/13/20,2404,2404,20,20
5/14/20,5/14/20,8/14/20,2428,2428,24,24
5/15/20,5/15/20,8/15/20,2443,2443,15,15
5/16/20,5/16/20,8/16/20,2458,2458,15,15
5/17/20,5/17/20,8/17/20,2465,2465,7,7
5/18/20,5/18/20,8/18/20,2504,2504,39,39
5/19/20,5/19/20,8/19/20,2548,2548,44,44
5/20/20,5/20/20,8/20/20,2584,2584,36,36
5/21/20,5/21/20,8/21/20,2605,2605,21,21
5/22/20,5/22/20,8/22/20,2631,2631,26,26
5/23/20,5/23/20,8/23/20,2648,2648,17,17
5/24/20,5/24/20,8/24/20,2650,2650,2,2
5/25/20,5/25/20,8/25/20,2657,2657,7,7
5/26/20,5/26/20,8/26/20,2687,2687,30,30
5/27/20,5/27/20,8/27/20,2726,2726,39,39
5/28/20,5/28/20,8/28/20,2749,2749,23,23
5/29/20,5/29/20,8/29/20,2793,2793,44,44
5/30/20,5/30/20,8/30/20,2809,2809,16,16
5/31/20,5/31/20,8/31/20,2819,2819,10,10
6/1/20,6/1/20,9/1/20,2853,2853,34,34
6/2/20,6/2/20,9/2/20,2878,2878,25,25
6/3/20,6/3/20,9/3/20,2919,2919,41,41
6/4/20,6/4/20,9/4/20,2955,2955,36,36
6/5/20,6/5/20,9/5/20,2992,2992,37,37
6/6/20,6/6/20,9/6/20,3005,3005,13,13
6/7/20,6/7/20,9/7/20,3023,3023,18,18
6/8/20,6/8/20,9/8/20,3062,3062,39,39
6/9/20,6/9/20,9/9/20,3108,3108,46,46
6/10/20,6/10/20,9/10/20,3171,3171,63,63
6/11/20,6/11/20,9/11/20,3221,3221,50,50
6/12/20,6/12/20,9/12/20,3279,3279,58,58
6/13/20,6/13/20,9/13/20,3300,3300,21,21
6/14/20,6/14/20,9/14/20,3313,3313,13,13
6/15/20,6/15/20,9/15/20,3375,3375,62,62
6/16/20,6/16/20,9/16/20,3469,3469,94,94
6/17/20,6/17/20,9/17/20,3560,3560,91,91
6/18/20,6/18/20,9/18/20,3662,3662,102,102
6/19/20,6/19/20,9/19/20,3773,3773,111,111
6/20/20,6/20/20,9/20/20,3823,3823,50,50
6/21/20,6/21/20,9/21/20,3860,3860,37,37
6/22/20,6/22/20,9/22/20,3964,3964,104,104
6/23/20,6/23/20,9/23/20,4153,4153,189,189
6/24/20,6/24/20,9/24/20,4299,4299,146,146
6/25/20,6/25/20,9/25/20,4432,4432,133,133
6/26/20,6/26/20,9/26/20,4569,4569,137,137
6/27/20,6/27/20,9/27/20,4680,4680,111,111
6/28/20,6/28/20,9/28/20,4740,4740,60,60
6/29/20,6/29/20,9/29/20,4884,4884,144,144
6/30/20,6/30/20,9/30/20,5073,5073,189,189
7/1/20,7/1/20,10/1/20,5258,5258,185,185
7/2/20,7/2/20,10/2/20,5442,5442,184,184
7/3/20,7/3/20,10/3/20,5520,5520,78,78
7/4/20,7/4/20,10/4/20,5564,5564,44,44
7/5/20,7/5/20,10/5/20,5659,5659,95,95
7/6/20,7/6/20,10/6/20,5912,5912,253,253
7/7/20,7/7/20,10/7/20,6202,6202,290,290
7/8/20,7/8/20,10/8/20,6485,6485,283,283
7/9/20,7/9/20,10/9/20,6767,6767,282,282
7/10/20,7/10/20,10/10/20,7015,7015,248,248
7/11/20,7/11/20,10/11/20,7196,7196,181,181
7/12/20,7/12/20,10/12/20,7315,7315,119,119
7/13/20,7/13/20,10/13/20,7520,7520,205,205
7/14/20,7/14/20,10/14/20,7871,7871,351,351
7/15/20,7/15/20,10/15/20,8252,8252,381,381
7/16/20,7/16/20,10/16/20,8591,8591,339,339
7/17/20,7/17/20,10/17/20,8886,8886,295,295
7/18/20,7/18/20,10/18/20,9058,9058,172,172
7/19/20,7/19/20,10/19/20,9146,9146,88,88
7/20/20,7/20/20,10/20/20,9363,9363,217,217
7/21/20,7/21/20,10/21/20,9671,9671,308,308
7/22/20,7/22/20,10/22/20,9970,9970,299,299
7/23/20,7/23/20,10/23/20,10251,10251,281,281
7/24/20,7/24/20,10/24/20,10497,10497,246,246
7/25/20,7/25/20,10/25/20,10623,10623,126,126
7/26/20,7/26/20,10/26/20,10709,10709,86,86
7/27/20,7/27/20,10/27/20,10885,10885,176,176
7/28/20,7/28/20,10/28/20,11183,11183,298,298
7/29/20,7/29/20,10/29/20,11454,11454,271,271
7/30/20,7/30/20,10/30/20,11694,11694,240,240
7/31/20,7/31/20,10/31/20,11953,11953,259,259
8/1/20,,,,12126,,173
8/2/20,,,,12210,,84
8/3/20,,,,12380,,170
8/4/20,,,,12682,,302
8/5/20,,,,13015,,333
8/6/20,,,,13261,,246
8/7/20,,,,13519,,258
8/8/20,,,,13725,,206
8/9/20,,,,13833,,108
8/10/20,,,,14054,,221
8/11/20,,,,14383,,329
8/12/20,,,,14667,,284
8/13/20,,,,14909,,242
8/14/20,,,,15162,,253
8/15/20,,,,15318,,156
8/16/20,,,,15389,,71
8/17/20,,,,15574,,185
8/18/20,,,,15842,,268
8/19/20,,,,16014,,172
8/20/20,,,,16176,,162
8/21/20,,,,16342,,166
8/22/20,,,,16479,,137
8/23/20,,,,16539,,60
8/24/20,,,,16693,,154
8/25/20,,,,16980,,287
8/26/20,,,,17208,,228
8/27/20,,,,17406,,198
8/28/20,,,,17596,,190
8/29/20,,,,17737,,141
8/30/20,,,,17793,,56
8/31/20,,,,17941,,148
9/1/20,,,,18175,,234
9/2/20,,,,18406,,231
9/3/20,,,,18574,,168
9/4/20,,,,18751,,177
9/5/20,,,,18841,,90
9/6/20,,,,18886,,45
9/7/20,,,,18927,,41
9/8/20,,,,19119,,192
9/9/20,,,,19326,,207
9/10/20,,,,19470,,144
9/11/20,,,,19602,,132
9/12/20,,,,19685,,83
9/13/20,,,,19718,,33
9/14/20,,,,19843,,125
9/15/20,,,,20069,,226
9/16/20,,,,20219,,150
9/17/20,,,,20395,,176
9/18/20,,,,20527,,132
9/19/20,,,,20598,,71
9/20/20,,,,20640,,42
9/21/20,,,,20762,,122
9/22/20,,,,20907,,145
9/23/20,,,,21045,,138
9/24/20,,,,21163,,118
9/25/20,,,,21266,,103
9/26/20,,,,21319,,53
9/27/20,,,,21359,,40
9/28/20,,,,21456,,97
9/29/20,,,,21602,,146
9/30/20,,,,21720,,118
10/1/20,,,,21840,,120
10/2/20,,,,21961,,121
10/3/20,,,,22027,,66
10/4/20,,,,22070,,43
10/5/20,,,,22155,,85
10/6/20,,,,22304,,149
10/7/20,,,,22434,,130
10/8/20,,,,22561,,127
10/9/20,,,,22673,,112
10/10/20,,,,22760,,87
10/11/20,,,,22804,,44
10/12/20,,,,22938,,134
10/13/20,,,,23088,,150
10/14/20,,,,23231,,143
10/15/20,,,,23391,,160
10/16/20,,,,23502,,111
10/17/20,,,,23568,,66
10/18/20,,,,23608,,40
10/19/20,,,,23748,,140
10/20/20,,,,23945,,197
10/21/20,,,,24093,,148
10/22/20,,,,24225,,132
10/23/20,,,,24370,,145
10/24/20,,,,24439,,69
10/25/20,,,,24495,,56
10/26/20,,,,24653,,158
10/27/20,,,,24855,,202
10/28/20,,,,25024,,169
10/29/20,,,,25167,,143
10/30/20,,,,25315,,148
10/31/20,,,,25413,,98
